,Pos,Artist,Title,Wks,T10,Pk,(x?),PkStreams,Total
0,1,The Weeknd,Blinding Lights,174,64,1,(x13),52375259,3433500819
1,2,Ed Sheeran,Shape of You,310,34,1,(x14),64217796,3318579901
2,3,Lewis Capaldi,Someone You Loved,220,15,4,,24962682,2642951162
3,4,Tones And I,Dance Monkey,151,41,1,(x17),52055226,2538070349
4,5,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,226,31,1,(x2),34579416,2506532527
5,6,Imagine Dragons,Believer,321,,16,,16864827,2418875029
6,7,The Kid LAROI,Stay,90,43,1,(x12),70502410,2390096761
7,8,Ed Sheeran,Perfect,315,15,4,,24763619,2353054730
8,9,Glass Animals,Heat Waves,118,37,1,(x10),31668100,2243046593
9,10,Billie Eilish,lovely,258,,24,,14081242,2138193234
10,11,Harry Styles,Watermelon Sugar,176,18,4,,28265526,2137964286
11,12,Shawn Mendes,Señorita,146,23,1,(x14),67237638,2072961200
12,13,Post Malone,rockstar,172,27,1,(x17),46995997,2072812831
13,14,Harry Styles,As It Was,52,49,1,(x11),78460903,2067017387
14,15,Dua Lipa,Don't Start Now,159,33,2,(x1),37779776,2052242293
15,16,James Arthur,Say You Won't Let Go,294,15,7,,19297939,2014970248
16,17,Billie Eilish,bad guy,135,24,1,(x6),50342324,1896726225
17,18,Post Malone,Circles,164,18,1,(x1),43379405,1849625610
18,19,Juice WRLD,Lucid Dreams,197,15,3,(x1),27389019,1835881201
19,20,Drake,One Dance,174,26,1,(x14),47782311,1809153682
20,21,The Chainsmokers,Closer,201,28,1,(x11),46300740,1792942076
21,22,Lady Gaga,Shallow,181,12,3,(x2),31597226,1730413820
22,23,Lil Nas X,INDUSTRY BABY,81,40,2,(x8),53085371,1632867564
23,24,Olivia Rodrigo,good 4 u,78,17,1,(x7),84131760,1618703681
24,25,Olivia Rodrigo,drivers license,96,16,1,(x10),80764045,1574743121
25,26,Dua Lipa,Levitating,115,12,4,,30358414,1568650961
26,27,Ariana Grande,7 rings,143,16,1,(x10),71467874,1547429518
27,28,XXXTENTACION,SAD!,163,12,1,(x2),38010231,1531066913
28,29,The Weeknd,Starboy,144,21,1,(x6),35360281,1527895537
29,30,XXXTENTACION,Jocelyn Flores,217,2,7,,25442646,1511632218
30,31,The Neighbourhood,Sweater Weather,160,,19,,16934686,1491963173
31,32,Queen,Bohemian Rhapsody - Remastered 2011,224,,11,,18440196,1484719835
32,33,Drake,God's Plan,104,21,1,(x11),54891573,1446481457
33,34,Lil Nas X,MONTERO (Call Me By Your Name),73,22,1,(x5),55582612,1435081319
34,35,Travis Scott,goosebumps,228,,13,,22652793,1431855311
35,36,Elton John,Cold Heart - PNAU Remix,85,28,4,,28043005,1428479341
36,37,Travis Scott,SICKO MODE,147,21,2,(x1),33399542,1423300401
37,38,The Chainsmokers,Something Just Like This,187,12,2,(x2),33173199,1405590878
38,39,SAINt JHN,Roses - Imanbek Remix,97,23,3,(x10),35360782,1393342289
39,40,BTS,Dynamite,113,17,2,(x2),39904687,1387320531
40,41,Maroon 5,Memories,127,15,2,(x1),31572344,1378872769
41,42,24kGoldn,Mood,91,27,1,(x5),41500977,1364348925
42,43,Ed Sheeran,Bad Habits,78,20,3,(x4),38983802,1345540456
43,44,Bad Bunny,DÁKITI,103,17,1,(x5),53344093,1340268006
44,45,The Weeknd,Save Your Tears,121,13,2,(x4),30115082,1333240198
45,46,Doja Cat,Kiss Me More,80,20,3,(x4),37723231,1319804269
46,47,Marshmello,Happier,117,22,2,(x1),28685390,1314561043
47,48,Camila Cabello,Havana,114,25,1,(x1),33129706,1305095150
48,49,John Legend,All of Me,308,15,3,(x2),6405273,1261721721
49,50,Ed Sheeran,Thinking out Loud,241,22,1,(x2),12966533,1256739061
50,51,Roddy Ricch,The Box,80,18,1,(x1),48937592,1251184105
51,52,Adele,Easy On Me,76,22,1,(x7),84952932,1249628540
52,53,Bad Bunny,Me Porto Bonito,47,27,2,(x1),39839157,1243108231
53,54,Ed Sheeran,I Don't Care,90,17,1,(x6),58370367,1236890080
54,55,Ed Sheeran,Photograph,265,,15,,8088843,1232673054
55,56,Post Malone,Better Now,114,11,1,(x6),40788286,1232129792
56,57,Calvin Harris,One Kiss,110,14,2,(x4),30380257,1217668756
57,58,DaBaby,ROCKSTAR,72,22,1,(x7),41679959,1215705911
58,59,Justin Bieber,Peaches,77,14,1,(x3),52357127,1213245560
59,60,Imagine Dragons,Thunder,143,3,8,,21076623,1201237576
60,61,Mariah Carey,All I Want for Christmas Is You,66,28,1,(x8),57651756,1193180643
61,62,Halsey,Without Me,121,16,4,,27576694,1192139465
62,63,Lewis Capaldi,Before You Go,122,,19,,16267082,1171062417
63,64,Ed Sheeran,Shivers,81,23,4,,31926382,1168343588
64,65,Dua Lipa,New Rules,104,23,2,(x3),26215788,1159764804
65,66,Tom Odell,Another Love,103,,15,,20219891,1155996248
66,67,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",38,22,1,(x9),54841779,1122542040
67,68,Bad Bunny,Tití Me Preguntó,47,24,4,,35141825,1114494327
68,69,Doja Cat,Woman,77,7,6,,29648304,1111134654
69,70,Ariana Grande,"thank u, next",87,17,1,(x8),59975503,1109308699
70,71,Bad Bunny,Yonaguni,83,9,3,(x3),45173496,1098151668
71,72,Måneskin,Beggin',66,15,1,(x4),52160401,1094371409
72,73,Farruko,Pepas,70,16,4,,30119703,1093539197
73,74,Conan Gray,Heather,137,,12,,18431861,1092911621
74,75,Luis Fonsi,Despacito - Remix,64,19,1,(x14),54729818,1092396262
75,76,Maroon 5,Girls Like You,100,14,2,(x1),29296811,1086166262
76,77,Hozier,Take Me To Church,205,20,1,(x5),13212580,1081388724
77,78,Lil Uzi Vert,XO TOUR Llif3,121,2,10,,19373632,1077596021
78,79,OneRepublic,Counting Stars,253,24,3,(x5),8724680,1067320266
79,80,Billie Eilish,when the party's over,122,1,9,,22448428,1064339831
80,81,XXXTENTACION,Moonlight,134,2,2,(x1),27497557,1055535621
81,82,Vance Joy,Riptide,242,,16,,9951539,1038277822
82,83,The Weeknd,The Hills,165,11,3,(x1),14363491,1026345483
83,84,Lil Nas X,Old Town Road - Remix,68,19,2,(x4),36616698,1010618722
84,85,Powfu,death bed,79,17,4,,30329811,1008962364
85,86,Olivia Rodrigo,deja vu,82,8,3,(x1),45060633,1008517848
86,87,Arizona Zervas,ROXANNE,70,16,2,(x5),34104838,1006176752
87,88,Harry Styles,Adore You,108,1,6,,25393341,1005016773
88,89,Trevor Daniel,Falling,76,12,5,,29862206,1004734702
89,90,Justin Bieber,Love Yourself,113,22,1,(x3),28218558,994490256
90,91,KAROL G,Tusa,73,14,3,(x2),41434019,994146025
91,92,Kendrick Lamar,HUMBLE.,96,12,1,(x1),41269524,991408108
92,93,Post Malone,Congratulations,128,,20,,15632229,990710095
93,94,Lauv,I Like Me Better,159,,29,,12704967,990348614
94,95,5 Seconds of Summer,Youngblood,120,1,8,,22841733,984672105
95,96,benny blanco,Eastside,95,11,4,,24227312,979529313
96,97,Sam Smith,Unholy,27,22,1,(x7),53478156,978421954
97,98,Olivia Rodrigo,traitor,76,4,7,,32922131,972061446
98,99,Bad Bunny,Ojitos Lindos,47,16,3,(x2),38207348,965601059
99,100,Post Malone,Wow.,84,14,2,(x1),31165644,962552357
100,101,Manuel Turizo,La Bachata,39,25,4,,30443567,954511489
101,102,Ava Max,Sweet but Psycho,98,7,6,,22400542,951420265
102,103,J Balvin,LA CANCIÓN,110,,17,,15922336,948477868
103,104,Justin Bieber,Ghost,80,,11,,17091238,947909852
104,105,Justin Bieber,Sorry,92,21,1,(x8),34283993,945730140
105,106,Travis Scott,HIGHEST IN THE ROOM,90,7,1,(x1),48161108,941850339
106,107,The Chainsmokers,Don't Let Me Down,93,22,3,(x2),20867984,937382310
107,108,Wham!,Last Christmas,60,20,2,(x6),52683220,929105433
108,109,Ariana Grande,positions,79,13,1,(x2),41862937,918652702
109,110,Major Lazer,Lean On,120,33,1,(x10),18924031,916566107
110,111,Post Malone,Psycho,80,14,2,(x6),45142484,911952857
111,112,Cardi B,I Like It,74,14,2,(x1),27369377,908062879
112,113,Bad Bunny,Efecto,47,14,6,,26720466,904470286
113,114,Rauw Alejandro,Todo De Ti,62,10,2,(x4),47564794,904188121
114,115,Dean Lewis,Be Alright,123,,12,,17708246,904001655
115,116,DJ Snake,Taki Taki,62,18,1,(x4),40931264,896064520
116,117,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,99,22,2,(x3),23018299,891175647
117,118,French Montana,Unforgettable,78,15,3,(x1),25652839,873238651
118,119,Ed Sheeran,Beautiful People,71,16,3,(x3),36721702,868100792
119,120,Coldplay,My Universe,71,6,3,(x1),32790116,863960261
120,121,DJ Snake,Let Me Love You,67,22,2,(x1),32792765,856986795
121,122,Internet Money,Lemonade,65,13,2,(x2),30094068,854723643
122,123,Drake,In My Feelings,52,15,1,(x8),67499798,850630308
123,124,Cardi B,WAP,55,15,1,(x5),45977242,848831566
124,125,Regard,Ride It,98,,12,,17371573,845193360
125,126,Coldplay,Yellow,119,,56,,10425798,840958062
126,127,Billie Eilish,Happier Than Ever,70,4,6,,33200672,834352850
127,128,Billie Eilish,everything i wanted,76,5,2,(x1),40323676,833351012
128,129,David Guetta,I'm Good (Blue),31,21,2,(x4),34345014,827555849
129,130,J. Cole,No Role Modelz,171,,64,,10209179,823628885
130,131,Panic! At The Disco,High Hopes,99,1,9,,19643546,822525134
131,132,Doja Cat,Need To Know,60,3,6,,29990272,818770638
132,133,OneRepublic,I Ain't Worried,43,8,7,,25270059,816537367
133,134,Lil Mosey,Blueberry Faygo,68,5,8,,25687351,816131839
134,135,Major Lazer,Cold Water,60,17,1,(x5),39612302,815313617
135,136,Joji,Glimpse of Us,42,10,1,(x1),57470492,813662972
136,137,Bruno Mars,Leave The Door Open,63,11,5,,26025274,807466173
137,138,Luis Fonsi,Despacito (Featuring Daddy Yankee),62,15,4,,27082220,802424995
138,139,Ruth B.,Dandelions,85,,34,,11294181,800830072
139,140,Eminem,Lose Yourself,219,,44,,10370986,795334513
140,141,Miley Cyrus,Flowers,11,11,1,(x10),115156896,791537452
141,142,Tate McRae,you broke me first,83,,12,,18627585,791460924
142,143,Avicii,Wake Me Up,188,13,3,(x2),20549219,786435839
143,144,BTS,Butter,63,7,2,(x1),58122349,784885473
144,145,Sam Smith,Too Good At Goodbyes,109,6,3,(x2),28527847,780246421
145,146,Masked Wolf,Astronaut In The Ocean,55,13,3,(x3),30035792,778977393
146,147,GAYLE,abcdefu,44,20,1,(x3),34440025,778710435
147,148,Maluma,Hawái,60,12,2,(x2),41071843,777609130
148,149,Bad Bunny,Moscow Mule,44,13,2,(x2),51387060,775724415
149,150,Joel Corry,Head & Heart,71,,11,,20052875,775241250
150,151,Bad Bunny,Callaita,71,8,7,,22380052,773877306
151,152,Sia,Cheap Thrills,83,18,3,(x1),22704478,771328890
152,153,The Weeknd,Die For You,63,,12,,22988828,769152399
153,154,Justin Bieber,What Do You Mean?,76,24,1,(x8),29264063,767171936
154,155,Imagine Dragons,Enemy,60,13,3,(x4),26745557,767049964
155,156,Dua Lipa,IDGAF,78,12,4,,23715748,765728252
156,157,Lost Frequencies,Where Are You Now,70,,18,,14503805,765580936
157,158,Tiësto,The Business,72,2,9,,19493924,765387748
158,159,Jawsh 685,Savage Love (Laxed - Sired Beat),55,15,1,(x2),34310255,763557902
159,160,Daddy Yankee,Con Calma,55,15,2,(x3),31111446,759270487
160,161,Twenty One Pilots,Stressed Out,115,12,6,,18271666,758145240
161,162,Jonas Brothers,Sucker,70,11,2,(x2),34629196,756754337
162,163,Kate Bush,Running Up That Hill (A Deal With God),34,14,1,(x3),57221016,753614642
163,164,Post Malone,I Fall Apart,87,1,10,,17129238,750917723
164,165,blackbear,hot girl bummer,84,3,9,,20814917,749077366
165,166,KAROL G,PROVENZA,49,4,6,,26685343,747169957
166,167,Zedd,The Middle,82,7,6,,22125746,741276314
167,168,Topic,Breaking Me,71,5,8,,20464143,737669655
168,169,Bruno Mars,That's What I Like,85,9,6,,23602385,733976807
169,170,Future,Life Is Good,70,5,3,(x1),39404104,730795312
170,171,DJ Khaled,I'm the One,51,16,2,(x7),40519723,720238325
171,172,Shawn Mendes,Treat You Better,82,13,5,,20386073,717975045
172,173,The Walters,I Love You So,77,,21,,14526745,717563752
173,174,SZA,Kill Bill,16,16,1,(x2),55234610,715875817
174,175,Lil Nas X,THATS WHAT I WANT,55,3,3,(x1),32546474,714973753
175,176,Marshmello,FRIENDS,67,13,4,,25664581,714909410
176,177,Shawn Mendes,There's Nothing Holdin' Me Back,78,5,5,,22413521,713619572
177,178,Calvin Harris,This Is What You Came For,64,18,2,(x11),26378633,710707296
178,179,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",78,14,3,(x6),24236034,707632576
179,180,J Balvin,Mi Gente,57,15,1,(x4),32361062,706648562
180,181,Alan Walker,Faded,91,15,7,,17656352,705007917
181,182,Anuel AA,China,53,12,2,(x4),33436706,703150756
182,183,Sam Smith,Dancing With A Stranger,76,10,7,,23144963,702710293
183,184,Taylor Swift,Anti-Hero,23,12,1,(x3),82935273,701454736
184,185,The Weeknd,Call Out My Name,75,4,1,(x1),40628023,701198781
185,186,Charlie Puth,Attention,60,13,5,,22888447,700064945
186,187,Fifth Harmony,Work from Home,74,20,2,(x3),22851136,698301324
187,188,Lukas Graham,7 Years,86,14,2,(x1),21578772,691799286
188,189,Eminem,Godzilla,79,3,4,,40637125,690317949
189,190,Tyga,Taste,67,4,6,,24591233,690276332
190,191,Bebe Rexha,Meant to Be,87,,18,,14838238,688386937
191,192,Bad Bunny,MIA,51,14,1,(x1),39639615,688289134
192,193,Pedro Capó,Calma - Remix,61,9,5,,23772814,687647813
193,194,Justin Bieber,Intentions,54,9,5,,35379447,686857521
194,195,Ariana Grande,no tears left to cry,61,8,2,(x1),38925971,685597568
195,196,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),68,14,2,(x2),30694422,682354310
196,197,Marshmello,Silence,71,8,8,,20339368,681892436
197,198,Doja Cat,Say So,60,8,6,,25776622,678877812
198,199,Drake,Toosie Slide,46,14,2,(x4),45292273,677398639
199,200,Dynoro,In My Mind,66,10,6,,22288306,676704919
200,201,Michael Bublé,It's Beginning to Look a Lot Like Christmas,54,9,6,,39394212,675160297
201,202,Eminem,Without Me,92,,31,,11515380,674948128
202,203,Adele,Hello,74,15,1,(x3),44785665,674927785
203,204,Dua Lipa,Break My Heart,65,2,7,,25320233,674770728
204,205,Clean Bandit,Rockabye,65,14,3,(x3),22798862,674373152
205,206,Juice WRLD,Robbery,95,,18,,16634927,673474919
206,207,Steve Lacy,Dark Red,86,,66,,9475923,669982808
207,208,Kygo,It Ain't Me,55,14,2,(x2),31981993,668193646
208,209,Lil Tecca,Ransom,60,10,3,(x2),27574962,665791210
209,210,Elley Duhé,MIDDLE OF THE NIGHT,59,,11,,17828258,663695650
210,211,Steve Lacy,Bad Habit,38,3,10,,22880789,661924939
211,212,The Weeknd,Save Your Tears,47,2,5,,27611013,661883213
212,213,Pop Smoke,For The Night,59,4,7,,22837971,659826820
213,214,Chris Brown,Under The Influence,36,7,6,,26896173,658116829
214,215,Ariana Grande,Santa Tell Me,51,8,3,(x1),38503261,655640983
215,216,Arctic Monkeys,Do I Wanna Know?,164,,38,,8587584,655270256
216,217,Post Malone,Goodbyes (Feat. Young Thug),47,13,2,(x1),37067320,654675084
217,218,Rihanna,Work,60,15,1,(x9),33662868,652396816
218,219,Eminem,The Real Slim Shady,95,,51,,9948913,651905412
219,220,Maroon 5,What Lovers Do,68,10,5,,23951075,651050835
220,221,Brenda Lee,Rockin' Around The Christmas Tree,41,10,3,(x1),48147082,647891739
221,222,ROSALÍA,DESPECHÁ,35,8,5,,30330456,645011992
222,223,Anne-Marie,2002,87,,27,,13698716,644432285
223,224,Shawn Mendes,Stitches,100,20,5,,15301964,643947324
224,225,The Weeknd,Can't Feel My Face,84,29,1,(x1),19390352,641671404
225,226,The Killers,Mr. Brightside,138,,98,,7279484,641533983
226,227,Danny Ocean,Me Rehúso,69,,20,,13515074,640056355
227,228,Imagine Dragons,Bones,55,,26,,16322618,634424292
228,229,Logic,1-800-273-8255,62,9,5,,23662238,629521089
229,230,Twenty One Pilots,Heathens,61,13,4,,26546200,629357576
230,231,Charlie Puth,We Don't Talk Anymore,97,1,9,,18248508,624294216
231,232,Rauw Alejandro,Desesperados,53,8,8,,19550632,619973040
232,233,Harry Styles,Late Night Talking,45,3,2,(x1),46528433,618520019
233,234,Desiigner,Panda,72,13,3,(x1),24034197,618141508
234,235,The Weeknd,I Feel It Coming,68,8,4,,22658206,614496718
235,236,Olivia Rodrigo,happier,69,,12,,27142760,611454554
236,237,Y2K,Lalala,56,5,4,,23833624,610441444
237,238,Billie Eilish,bury a friend,58,7,2,(x1),35408536,608548861
238,239,Bobby Helms,Jingle Bell Rock,42,8,4,,44144398,606678968
239,240,Major Lazer,Light It Up,73,,11,,15684172,604569611
240,241,The Neighbourhood,Daddy Issues,100,,99,,6905403,603808704
241,242,Arctic Monkeys,505,65,,43,,11501038,601901414
242,243,Khalid,Better,64,2,7,,21831365,601815595
243,244,Lady Gaga,Rain On Me,55,7,1,(x1),41627044,597587263
244,245,Drake,Hotline Bling,80,19,2,(x1),20870154,596313469
245,246,Stephen Sanchez,Until I Found You,47,,20,,17126410,596013585
246,247,Drake,Nice For What,42,11,1,(x2),41781391,594741215
247,248,Khalid,Young Dumb & Broke,76,,12,,15871063,594366159
248,249,Lizzo,About Damn Time,43,2,9,,25698594,591468747
249,250,Mark Ronson,Uptown Funk,103,23,1,(x8),15350322,586491435
250,251,Zedd,Stay,55,11,7,,23118329,586299104
251,252,Selena Gomez,Wolves,57,14,3,(x1),24355051,586228775
252,253,Sam Smith,Stay With Me,146,26,2,(x4),8537137,585430499
253,254,Future,Mask Off,58,9,5,,25847893,582487201
254,255,Tainy,Lo Siento BB:/,53,,12,,22347970,581354380
255,256,Martin Garrix,In the Name of Love,59,10,6,,21797864,581181619
256,257,Nio Garcia,Te Boté - Remix,53,2,8,,19829896,580565818
257,258,Black Eyed Peas,RITMO (Bad Boys For Life),48,5,9,,23528266,579778398
258,259,Riton,Friday,51,,15,,19050193,577050376
259,260,Camila Cabello,Bam Bam,41,4,5,,21135422,571221486
260,261,Pop Smoke,What You Know Bout Love,50,6,6,,24810100,570820904
261,262,Rema,Calm Down,31,3,9,,25338316,569212280
262,263,Avicii,The Nights,115,,18,,11612203,568813908
263,264,JP Saxe,If The World Was Ending,79,,38,,11350099,566684070
264,265,G-Eazy,"Me, Myself & I",70,14,4,,17839641,564775200
265,266,Clean Bandit,Symphony,60,,11,,21433880,561744393
266,267,Jason Derulo,Swalla,54,6,6,,21809411,560860745
267,268,BlocBoy JB,Look Alive,57,6,6,,22486856,557605940
268,269,Rosa Linn,SNAP,38,,16,,18664457,552334192
269,270,Bad Bunny,Neverita,45,,15,,24810933,552086741
270,271,Zara Larsson,Lush Life,93,,15,,12272269,551641716
271,272,Jhay Cortez,No Me Conoce - Remix,59,,20,,14989110,548583436
272,273,DNCE,Cake By The Ocean,82,,12,,15222959,547344387
273,274,Harry Styles,Falling,88,,29,,14809370,547095456
274,275,Andy Williams,It's the Most Wonderful Time of the Year,44,4,7,,34984177,546841028
275,276,Clean Bandit,Solo,49,7,8,,24095921,546828888
276,277,The Kid LAROI,WITHOUT YOU,46,7,7,,19445485,545746256
277,278,MEDUZA,Piece Of Your Heart,62,,14,,16900857,544816971
278,279,Drake,Too Good,48,18,5,,19402522,542497343
279,280,Ed Sheeran,Galway Girl,58,5,2,(x1),31063488,542207088
280,281,Hailee Steinfeld,Starving,66,,12,,16495002,539154382
281,282,Ariana Grande,Side To Side,59,10,6,,20877291,537400584
282,283,Twenty One Pilots,Ride,79,1,10,,15813811,537094400
283,284,Khalid,Location,79,,34,,11072906,536818581
284,285,Måneskin,I WANNA BE YOUR SLAVE,40,4,8,,28083554,535964658
285,286,Julia Michaels,Issues,65,1,9,,18886951,533154479
286,287,Sam Smith,How Do You Sleep?,43,6,7,,22140829,533033471
287,288,The Chainsmokers,Paris,48,12,2,(x3),28872070,531337298
288,289,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),40,3,7,,30313629,530682283
289,290,Ed Sheeran,Castle on the Hill,56,9,2,(x2),35059860,529615023
290,291,Bruno Mars,24K Magic,62,6,6,,20739017,527459491
291,292,XXXTENTACION,changes,70,1,9,,23766098,525212436
292,293,Calvin Harris,Promises,52,8,5,,23666223,525181112
293,294,Jack Ü,Where Are Ü Now,81,23,3,(x1),11738161,524252721
294,295,Meek Mill,Going Bad,56,,11,,17883199,522394456
295,296,Juice WRLD,All Girls Are The Same,88,,48,,9718306,519378199
296,297,Giveon,Heartbreak Anniversary,47,4,8,,23116338,519289468
297,298,Metro Boomin,Creepin',17,15,2,(x1),36446537,518972926
298,299,Axwell /\ Ingrosso,More Than You Know,62,,15,,16550135,517548978
299,300,Demi Lovato,Sorry Not Sorry,56,3,7,,19545702,517161784
300,301,Sia,Chandelier,128,23,3,(x3),8493093,516437237
301,302,Jack Harlow,First Class,28,6,2,(x4),50438229,515500220
302,303,Ariana Grande,34+35,43,4,5,,26153463,515489076
303,304,Bad Bunny,LA NOCHE DE ANOCHE,40,4,2,(x1),30110474,512900063
304,305,Arctic Monkeys,I Wanna Be Yours,38,,26,,17295155,512787135
305,306,XXXTENTACION,Fuck Love,80,,19,,16680157,511902114
306,307,J. Cole,MIDDLE CHILD,55,2,2,(x1),33187464,510789619
307,308,Drake,Money In The Grave (Drake ft. Rick Ross),55,4,5,,25117868,508783617
308,309,Becky G,MAMIII,38,7,5,,23135757,508562481
309,310,Ali Gatie,It's You,62,,27,,13084417,507361105
310,311,DJ Khaled,Wild Thoughts,40,12,2,(x4),31981224,506184874
311,312,Lil Nas X,Old Town Road,40,10,3,(x2),30103989,504284723
312,313,Kendrick Lamar,All The Stars,44,7,2,(x2),31352011,503976206
313,314,Portugal. The Man,Feel It Still,64,,18,,14096574,503935939
314,315,Loud Luxury,Body,64,,19,,16136787,502428465
315,316,Jonas Blue,Fast Car,62,4,10,,16501675,502209439
316,317,Liam Payne,Strip That Down,47,7,9,,20399177,501969151
317,318,Drake,Laugh Now Cry Later,44,5,2,(x1),33016564,500537720
318,319,Shawn Mendes,If I Can't Have You,50,7,4,,28103423,499575335
319,320,Surf Mesa,ily,46,2,9,,19894754,499508013
320,321,Ariana Grande,Stuck with U,48,3,2,(x1),34310359,499429056
321,322,Queen,Another One Bites The Dust - Remastered 2011,84,,36,,11262150,498836583
322,323,Polo G,RAPSTAR,43,5,3,(x2),32132548,497296548
323,324,Lizzo,Truth Hurts,45,,16,,16286337,497281768
324,325,NF,Let You Down,46,10,9,,19989871,497222105
325,326,Kali Uchis,telepatía,40,6,2,(x1),28205390,497087870
326,327,Surfaces,Sunday Best,44,,13,,19929893,494881693
327,328,ZAYN,Dusk Till Dawn,41,11,4,,22579858,494566732
328,329,ZAYN,PILLOWTALK,59,13,1,(x2),27477356,493993282
329,330,Rudimental,These Days,51,1,9,,19683315,493838843
330,331,Martin Garrix,Scared to Be Lonely,55,4,5,,22668956,493661628
331,332,Drake,Passionfruit,56,6,2,(x2),32507239,492003941
332,333,Alec Benjamin,Let Me Down Slowly,73,,27,,14487348,491276302
333,334,Duncan Laurence,Arcade,59,,23,,13727148,489483726
334,335,Selena Gomez,Lose You To Love Me,38,5,1,(x1),47227738,488987210
335,336,Imagine Dragons,Demons,162,6,8,,8612822,487965876
336,337,Dan + Shay,"10,000 Hours",56,3,5,,26054266,485371435
337,338,Wiz Khalifa,See You Again,83,18,1,(x6),21852951,484510893
338,339,The Chainsmokers,Roses,69,6,7,,14398355,484221245
339,340,JVKE,golden hour,31,,14,,21078730,483977981
340,341,Nicky Jam,X,34,10,4,,25335647,483456853
341,342,Khalid,Love Lies,49,,11,,20042219,483126319
342,343,gnash,"i hate u, i love u",57,,13,,13840077,482561714
343,344,Post Malone,I Like You (A Happier Song),41,1,10,,24340885,482280122
344,345,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",12,11,2,(x3),80646962,482106651
345,346,Drake,Jimmy Cooks,41,1,7,,31710710,481535978
346,347,CKay,love nwantiti (ah ah ah),41,1,9,,22746839,479665166
347,348,Bad Bunny,Party,33,3,6,,34175557,479414025
348,349,Ed Sheeran,Happier,91,1,10,,23545568,476467704
349,350,Drake,Fake Love,48,10,7,,18569220,476434708
350,351,Passenger,Let Her Go,177,,13,,4815894,475972877
351,352,J Balvin,Qué Más Pues?,36,1,9,,26352868,475638530
352,353,J Balvin,UN DIA (ONE DAY) (Feat. Tainy),49,2,10,,18329866,475454649
353,354,Kodak Black,ZEZE,39,8,3,(x1),29095302,475296500
354,355,Bad Bunny,Tarot,34,1,9,,31952895,470238500
355,356,Bazzi,Mine,48,6,3,(x1),23681960,468993923
356,357,Offset,Ric Flair Drip,67,,32,,10965630,468474147
357,358,The Weeknd,In Your Eyes,53,1,6,,26303039,466847469
358,359,Starley,Call On Me - Ryan Riback Extended Remix,47,,13,,16885441,465738653
359,360,KAROL G,BICHOTA,33,11,3,(x1),25315138,465557580
360,361,Maluma,Felices los 4,47,,17,,17123191,462895074
361,362,Calvin Harris,Feels,38,11,5,,23208440,462099346
362,363,Jaymes Young,Infinity,43,,11,,17497105,461870187
363,364,ACRAZE,Do It To It,40,2,9,,20611311,461769872
364,365,Robin Schulz,Sugar,69,6,9,,10750515,461767760
365,366,Taylor Swift,Blank Space,68,,88,,10911215,461754734
366,367,Juice WRLD,Come & Go,47,4,4,,30027587,461599034
367,368,Aventura,Volví,41,1,10,,25261084,460049685
368,369,Shakira,Te Felicito,39,,13,,22642420,459536080
369,370,Rihanna,Needed Me,59,,14,,13619575,458794892
370,371,Arctic Monkeys,Why'd You Only Call Me When You're High?,71,,104,,7918229,458702174
371,372,MEDUZA,Lose Control,55,,27,,13686042,456036493
372,373,Maroon 5,Sugar,93,11,2,(x1),13080140,455952316
373,374,Coolio,Gangsta's Paradise,69,,40,,12250358,455590848
374,375,Luis Fonsi,Échame La Culpa,40,8,7,,19056515,455074445
375,376,Jonas Blue,Mama,45,,11,,18912803,451206321
376,377,Maroon 5,Don't Wanna Know,40,13,4,,21063863,450707447
377,378,Drake,Nonstop,43,2,1,(x1),43697135,448969830
378,379,Lil Baby,Drip Too Hard (Lil Baby & Gunna),49,,13,,16365307,448909392
379,380,Cris Mj,Una Noche en Medellín,37,3,9,,18047006,448560983
380,381,Clean Bandit,Rather Be,121,17,1,(x7),8491112,446561447
381,382,Justin Bieber,Mistletoe,47,,15,,24470409,446076044
382,383,Doja Cat,Streets,45,2,9,,18274551,445758589
383,384,Ozuna,Hey Mor,24,,14,,20388083,444455507
384,385,Beyoncé,CUFF IT,32,,13,,19992910,443636194
385,386,Travis Scott,BUTTERFLY EFFECT,72,,38,,12187233,442827959
386,387,21 Savage,Bank Account,52,,22,,14030108,442378554
387,388,DJ Snake,Middle,64,,16,,14182166,441638949
388,389,Paulo Londra,Adan y Eva,41,,11,,17547601,441536836
389,390,Ariana Grande,"break up with your girlfriend, i'm bored",33,7,2,(x3),54707620,439898870
390,391,Justin Bieber,Holy,37,6,4,,28367431,439798560
391,392,d4vd,Romantic Homicide,30,,17,,17688935,439542672
392,393,Tiësto,The Motto,44,,22,,13705657,437304511
393,394,Jonas Blue,Perfect Strangers,58,,12,,17072020,436465982
394,395,Justin Bieber,Yummy,29,7,2,(x1),38715310,436100468
395,396,Childish Gambino,Redbone,76,,35,,11798468,434702997
396,397,Sheck Wes,Mo Bamba,42,,11,,17459536,434608965
